Grid_ID,Ag/NonAg_m,agri_class
545889,0.924800000000000,1
801701,0.446400000000000,0
994550,0.910400000000000,1
959550,0.979200000000000,1
390328,0.868800000000000,1
502678,0.316800000000000,0
71536,0.998400000000000,1
20968,0.854400000000000,1
922090,0.929600000000000,1
946304,1.000000000000000,1
984736,0.984000000000000,1
215639,0.609600000000000,1
193802,0.753600000000000,1
697964,0.968000000000000,1
582609,1.000000000000000,1
347482,0.947200000000000,1
85846,1.000000000000000,1
975372,0.972800000000000,1
371859,0.865600000000000,1
815717,0.923200000000000,1
985677,0.976000000000000,1
526292,1.000000000000000,1
560771,1.000000000000000,1
418667,1.000000000000000,1
411542,1.000000000000000,1
577719,1.000000000000000,1
851888,1.000000000000000,1
283614,1.000000000000000,1
347227,0.955200000000000,1
384546,0.603200000000000,1
414030,0.769600000000000,1
601524,0.968000000000000,1
807225,1.000000000000000,1
619818,1.000000000000000,1
836585,1.000000000000000,1
901674,1.000000000000000,1
821570,1.000000000000000,1
887304,1.000000000000000,1
689859,1.000000000000000,1
453027,1.000000000000000,1
915137,1.000000000000000,1
994997,1.000000000000000,1
767796,1.000000000000000,1
645624,0.878400000000000,1
102258,1.000000000000000,1
107895,0.716800000000000,1
789111,0.984000000000000,1
377875,0.998400000000000,1
754557,1.000000000000000,1
999609,1.000000000000000,1
362080,1.000000000000000,1
57390,1.000000000000000,1
872006,1.000000000000000,1
134140,1.000000000000000,1
470008,0.860800000000000,1
985109,1.000000000000000,1
438319,1.000000000000000,1
37987,1.000000000000000,1
813169,0.963200000000000,1
701658,0.600000000000000,1
73929,0.697600000000000,1
364549,0.796800000000000,1
332829,0.945600000000000,1
815616,1.000000000000000,1
71418,1.000000000000000,1
63748,1.000000000000000,1
637940,1.000000000000000,1
581200,0.990400000000000,1
977761,0.851200000000000,1
894516,0.915200000000000,1
150329,0.987200000000000,1
509785,0.884800000000000,1
252599,1.000000000000000,1
68121,0.894400000000000,1
830515,0.782400000000000,1
896145,0.950400000000000,1
136823,0.851200000000000,1
217152,0.995200000000000,1
686085,0.888000000000000,1
405319,0.915200000000000,1
67015,1.000000000000000,1
836027,1.000000000000000,1
770794,1.000000000000000,1
470837,1.000000000000000,1
844883,0.748800000000000,1
361778,0.934400000000000,1
385563,1.000000000000000,1
826494,0.982400000000000,1
689235,0.808000000000000,1
506352,0.603200000000000,1
97857,0.622400000000000,1
439595,0.852800000000000,1
722593,0.998400000000000,1
43270,0.998400000000000,1
269499,0.596800000000000,1
929341,0.835200000000000,1
853216,1.000000000000000,1
351469,1.000000000000000,1
46099,0.963200000000000,1
808801,0.801600000000000,1
893002,0.494400000000000,0
103999,0.494400000000000,0
263508,1.000000000000000,1
996555,1.000000000000000,1
19882,1.000000000000000,1
974494,1.000000000000000,1
512048,1.000000000000000,1
249960,1.000000000000000,1
258070,0.763200000000000,1
196896,1.000000000000000,1
423707,1.000000000000000,1
660563,1.000000000000000,1
48683,1.000000000000000,1
102878,1.000000000000000,1
959481,0.934400000000000,1
836697,1.000000000000000,1
43432,1.000000000000000,1
749460,0.907200000000000,1
950426,0.803200000000000,1
659091,0.937600000000000,1
323144,1.000000000000000,1
662983,0.891200000000000,1
420260,0.929600000000000,1
818962,0.883200000000000,1
931079,0.923200000000000,1
583516,1.000000000000000,1
522153,0.998400000000000,1
