agri_class,DEM_mean,Slope_mean,sand_pct,clay_pct,bd_gcm3,SOC_mean
1,221.390625,1.312383472919464,37.44,24.07,1.51,27.365016883822875
1,159.79166666666663,1.51033751004272,38.07,23.49,1.51,28.0
1,227.5,1.958976132174333,39.1,27.74,1.51,32.63260605041733
1,227.15277777777777,1.876473890410529,39.04,27.22,1.51,30.022533470301376
1,227.85185185185185,1.618094150072489,38.36,27.2,1.51,31.719613259911185
1,228.94444444444443,2.469736624095175,38.45,27.14,1.52,31.826981355511368
1,226.23611111111111,2.09906511919366,38.28,26.99,1.52,31.0
1,226.49382716049385,1.731957366437088,38.21,26.39,1.53,31.194306982266927
1,229.90123456790124,2.549412475691901,37.22,27.17,1.52,29.661569320610727
1,228.08333333333331,2.35661449117793,37.2,27.48,1.5,29.790423022944253
1,222.91666666666663,2.133028654909845,36.9,28.58,1.5,30.1862857366843
1,176.06172839506172,2.436785961097141,37.26,28.03,1.5,32.26482045140441
1,228.31944444444443,2.216977751089467,40.64,25.46,1.52,30.173772752837877
1,227.94444444444443,1.546116202241845,40.32,26.66,1.52,31.712393058551264
1,228.5,1.606135015686353,40.12,26.75,1.52,31.943654198210147
1,227.54166666666663,1.037890199985769,39.91,26.69,1.52,31.590553136042253
1,228.30864197530863,1.608043797958044,40.61,25.95,1.53,31.8313971274468
1,225.41975308641972,1.714648290640778,37.93,24.77,1.51,29.014338237441876
0,225.375,1.877297408050961,38.71,26.06,1.51,29.736279415460547
1,223.41975308641972,1.97751557164722,38.7,26.15,1.51,29.861850340516128
1,223.88888888888889,1.594393330591696,38.51,26.73,1.51,29.017061255775623
1,223.22222222222223,1.925693770249685,36.97,28.84,1.51,29.632606050413667
1,225.09876543209876,1.665170776991197,37.27,28.44,1.51,30.000000000000004
1,220.02777777777777,1.518647005988492,37.12,28.91,1.5,29.976677377748675
1,222.41975308641972,1.751065489686566,37.02,28.97,1.5,30.260096457526583
1,222.16666666666663,1.761985370682345,37.08,28.26,1.49,30.53822919717384
1,221.81944444444443,1.640240653521485,37.38,27.87,1.49,30.632606050417035
1,221.20987654320993,1.788555631667008,37.91,28.34,1.49,30.30584115411729
1,222.73611111111111,1.540907831655608,37.38,24.59,1.51,29.56491164647334
1,222.28395061728395,1.678886667445854,37.25,24.36,1.51,30.149092171388148
1,221.70833333333331,1.611234221193526,36.84,24.67,1.51,28.61350942926514
1,111.62962962962963,1.228538696108193,37.54,23.88,1.51,27.367393949583583
1,227.71875,1.573967969976366,39.13,27.78,1.52,33.36120772030562
1,228.21875,1.516042610630393,39.62,27.5,1.52,34.16781557009806
1,227.25,1.712917177937925,39.17,28.06,1.52,34.0
1,227.16666666666663,1.869761885040336,39.16,27.91,1.52,33.414777419078575
1,227.06944444444443,1.702683441340923,39.02,27.6,1.5,30.0
1,227.84375,2.437460635788739,38.64,27.34,1.5,30.95323972621572
1,174.54166666666663,2.536232944498671,38.16,26.87,1.51,32.0
1,228.56944444444443,2.057330652243561,38.53,27.66,1.51,31.78634740319791
1,226.875,1.721511486917734,38.26,27.55,1.51,32.0
1,227.22222222222223,2.325464593867461,38.32,26.93,1.52,30.95458937067413
1,229.34375,2.233481598086655,38.67,25.91,1.52,30.0
1,226.640625,2.132342014461756,38.6,26.25,1.52,30.366798745103896
1,228.40277777777777,2.109490353200171,38.08,26.4,1.53,30.271431703379967
1,227.734375,2.251566526480019,37.78,26.87,1.53,30.541078530406185
1,229.56944444444443,2.76819359511137,37.35,26.93,1.52,29.800093577912456
1,230.5625,1.812334052287042,37.06,28.54,1.5,31.03925749954597
1,230.90277777777777,1.991963817841477,37.16,28.13,1.5,30.16686551470608
1,229.51388888888889,2.028568056722482,37.23,28.4,1.5,31.75509306543672
1,229.05555555555557,1.880328447058581,37.68,26.4,1.52,30.367429750472095
1,228.1875,1.921789078041911,39.95,26.94,1.52,32.57481186405886
1,228.765625,1.864902200177312,40.7,25.89,1.53,31.0
1,229.046875,1.792787884362042,37.69,24.89,1.52,30.892005084857765
1,149.20833333333334,2.001618209638094,38.31,25.04,1.52,29.612281924069187
1,223.59375,1.979600466787815,37.98,24.76,1.51,31.03627591806168
1,217.56944444444443,1.859686302221738,38.04,24.17,1.52,31.0
1,222.95833333333331,1.755327811671628,37.21,24.0,1.51,29.850880674909632
1,221.234375,1.975908875465393,37.21,28.48,1.49,31.493355457834458
1,221.8125,1.524699830450118,39.0,25.16,1.5,29.0
1,222.65277777777777,1.636749537454711,37.96,23.83,1.51,29.0
1,222.375,1.678836687467992,37.65,24.14,1.51,29.0
1,223.5,1.886560489734014,37.27,24.8,1.51,29.732572621373446
1,226.453125,1.881441834382713,39.02,27.79,1.52,33.839169873435985
1,227.78125,1.527007249183953,39.29,28.19,1.52,33.84022124282355
1,226.72222222222223,1.514592135118114,38.92,27.77,1.5,30.0
1,227.984375,1.864446246996522,39.12,27.19,1.5,30.356646158935938
1,227.875,1.685484343208373,37.95,26.84,1.52,32.0
